scenario,algo,distance_ratio,throughput,satisfaction
1,Q-RITA,0.01,45.56446929625368,0.9089814996953706
1,Q-RITA,0.02,44.14323985531372,0.9082812004087374
1,Q-RITA,0.05,43.3051552887579,0.8903802379485017
1,Q-RITA,0.1,41.78567202096913,0.8701526636660044
1,Q-RITA,0.2,40.58679588553913,0.7886566981120632
1,Q-RITA,0.5,39.88257282839264,0.6945506049161124
1,Q-RITA,1.0,39.84223496257526,0.6133555395470891
1,Classical-RR,0.01,36.879576037515996,0.5910689457921326
1,Classical-RR,0.02,35.89076172946974,0.5831499924800795
1,Classical-RR,0.05,35.16548155916519,0.5778413157502967
1,Classical-RR,0.1,34.06966707333118,0.5404344407043926
1,Classical-RR,0.2,30.312385949542765,0.4204085102717134
1,Classical-RR,0.5,28.218938404538058,0.3124580579948938
1,Classical-RR,1.0,27.912702474073058,0.20319988498434552
1,Static-RIS,0.01,31.72328788270004,0.4772557912895945
1,Static-RIS,0.02,30.999679185692433,0.468588126849175
1,Static-RIS,0.05,30.34103890237057,0.4051972735386885
1,Static-RIS,0.1,29.15849615760864,0.35612841696363606
1,Static-RIS,0.2,26.430282478741063,0.287960599876208
1,Static-RIS,0.5,25.16990320737221,0.18626251977231492
1,Static-RIS,1.0,24.0,0.14
