scenario,algo,sd_pairs,throughput,satisfaction
1,Q-RITA,10,42.24221943075754,0.8697351130011743
1,Q-RITA,15,40.44518071217049,0.7839544609032318
1,Q-RITA,20,37.39472217742528,0.6349830947742178
1,Q-RITA,25,33.946978496660556,0.47029014552015375
1,Q-RITA,30,31.62320923735384,0.35905963341232666
1,Classical-RR,10,32.18888303175027,0.6320114475268916
1,Classical-RR,15,34.77046172027772,0.537955872414091
1,Classical-RR,20,31.63916527889564,0.381755763677554
1,Classical-RR,25,28.569370446726587,0.25830679054359734
1,Classical-RR,30,26.824234024407026,0.17219355138131762
1,Static-RIS,10,29.98208970413437,0.4702858124231628
1,Static-RIS,15,28.978800149526393,0.3643961158694329
1,Static-RIS,20,30.009575931284758,0.28532235283660917
1,Static-RIS,25,28.02814901057104,0.18997086230545504
1,Static-RIS,30,24.627701614653922,0.14
